"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: initialCapacity","Param: loadFactor"
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1781487.844600,103449.105594,"us/op",16,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1588731.757000,97052.035257,"us/op",16,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1486608.241200,116935.406120,"us/op",16,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1540778.434700,112421.157331,"us/op",16,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1434599.982700,33716.464670,"us/op",16,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1481357.080400,69850.660446,"us/op",16,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1547563.282500,61128.017742,"us/op",16,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1638822.567800,80110.191916,"us/op",16,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1790478.344500,157629.465532,"us/op",100,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1576409.986400,116890.596035,"us/op",100,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1488515.686200,119127.552681,"us/op",100,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1543804.964500,110556.449310,"us/op",100,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1441611.167700,77144.826282,"us/op",100,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1492342.814900,84470.241499,"us/op",100,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1517710.408500,105721.664768,"us/op",100,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1628703.298500,92593.344165,"us/op",100,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1752935.562900,132991.698973,"us/op",1024,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1587351.338200,93310.401121,"us/op",1024,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1484802.946100,113835.344147,"us/op",1024,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1544269.244000,113099.190563,"us/op",1024,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1446536.414600,90512.070925,"us/op",1024,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1474087.552900,72280.966751,"us/op",1024,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1518300.587200,98227.769764,"us/op",1024,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1623648.859900,82193.619811,"us/op",1024,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1747592.955300,123182.318347,"us/op",1000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1588146.425500,105998.756492,"us/op",1000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1487216.155300,115329.087584,"us/op",1000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1548717.568000,105272.256733,"us/op",1000,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1443391.491000,105780.537672,"us/op",1000,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1490240.917500,59098.972036,"us/op",1000,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1540194.924700,66085.232553,"us/op",1000,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1625704.537000,83529.243284,"us/op",1000,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1752079.881800,97736.252294,"us/op",10000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1586715.418200,124278.505864,"us/op",10000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1488076.660400,116743.871502,"us/op",10000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1544894.942200,108176.397588,"us/op",10000,0.5
