"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: initialCapacity","Param: loadFactor"
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1461.131900,278.864232,"us/op",16,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1287.367100,288.485133,"us/op",16,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1361.958200,200.351373,"us/op",16,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1514.292400,278.097480,"us/op",16,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1250.914200,185.545538,"us/op",16,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1256.325200,255.974327,"us/op",16,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1231.027900,150.220158,"us/op",16,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1345.387300,172.644167,"us/op",16,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1735.304700,292.426499,"us/op",100,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1255.575600,263.079180,"us/op",100,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1323.175500,174.174593,"us/op",100,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1469.149700,344.061612,"us/op",100,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1275.624300,365.084257,"us/op",100,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1211.695800,175.020583,"us/op",100,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1241.287700,115.155808,"us/op",100,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1324.257600,201.016426,"us/op",100,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1461.515600,332.260127,"us/op",1024,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1232.502900,282.601871,"us/op",1024,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1237.266100,155.357325,"us/op",1024,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1408.672100,136.389166,"us/op",1024,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1188.330100,213.373395,"us/op",1024,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1296.530000,259.436876,"us/op",1024,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1302.780300,191.864019,"us/op",1024,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1360.523400,215.111081,"us/op",1024,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1448.389900,289.113213,"us/op",1000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1231.177300,288.819026,"us/op",1000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1260.048200,218.145449,"us/op",1000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1374.627600,163.644628,"us/op",1000,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1199.483500,310.031941,"us/op",1000,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1272.426300,315.094659,"us/op",1000,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1250.945100,164.479960,"us/op",1000,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1330.306800,232.756459,"us/op",1000,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1379.069000,258.402915,"us/op",10000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1272.779000,183.801602,"us/op",10000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1008.782200,142.260660,"us/op",10000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1111.176800,205.065621,"us/op",10000,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,860.923300,215.127572,"us/op",10000,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,802.517300,157.870191,"us/op",10000,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,823.528000,180.837116,"us/op",10000,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,802.730200,160.100895,"us/op",10000,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1264.448100,247.625173,"us/op",65536,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,900.169100,215.467739,"us/op",65536,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,916.262000,204.009961,"us/op",65536,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,971.780000,306.033158,"us/op",65536,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,878.099200,199.626314,"us/op",65536,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,879.158700,167.327695,"us/op",65536,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,885.465500,208.094006,"us/op",65536,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,879.773800,210.130250,"us/op",65536,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,993.131500,173.954682,"us/op",100000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,985.322400,173.942149,"us/op",100000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1013.572400,276.108053,"us/op",100000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,990.823600,215.827617,"us/op",100000,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,971.335000,180.455851,"us/op",100000,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,988.487700,207.783679,"us/op",100000,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,977.379600,198.212599,"us/op",100000,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,981.321800,213.488531,"us/op",100000,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1681.911000,295.730344,"us/op",524288,0.125
