"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: initialCapacity","Param: loadFactor"
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,33.962700,25.357498,"us/op",16,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,30.646400,30.676455,"us/op",16,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,31.279500,24.545689,"us/op",16,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,24.056700,17.987379,"us/op",16,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,19.466100,10.148785,"us/op",16,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,20.561800,9.066530,"us/op",16,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,19.545000,14.950980,"us/op",16,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,24.525800,23.506055,"us/op",16,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,40.396500,62.725116,"us/op",100,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,25.256200,14.039976,"us/op",100,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,26.565500,19.605099,"us/op",100,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,27.900200,37.176601,"us/op",100,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,23.048400,21.066266,"us/op",100,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,25.942200,19.039666,"us/op",100,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,18.218200,16.698507,"us/op",100,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,20.898100,17.261935,"us/op",100,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,25.377600,19.906989,"us/op",1024,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,17.819600,13.161737,"us/op",1024,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,26.814400,26.508448,"us/op",1024,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,20.479900,14.171626,"us/op",1024,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,22.039200,19.222953,"us/op",1024,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,20.393500,15.916363,"us/op",1024,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,19.854300,17.346977,"us/op",1024,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,14.922600,9.613001,"us/op",1024,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,15.538100,8.727864,"us/op",1000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,22.677100,15.969314,"us/op",1000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,21.992000,24.827813,"us/op",1000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,18.586600,15.540894,"us/op",1000,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,23.133900,23.173666,"us/op",1000,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,24.529400,13.908138,"us/op",1000,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,20.445200,15.097020,"us/op",1000,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,21.465900,12.852324,"us/op",1000,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,52.111700,28.085983,"us/op",10000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,54.936700,41.421524,"us/op",10000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,53.898200,23.995491,"us/op",10000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,60.662200,22.777620,"us/op",10000,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,46.403900,30.825709,"us/op",10000,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,56.921300,36.420499,"us/op",10000,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,61.895500,30.052254,"us/op",10000,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,58.830900,29.431925,"us/op",10000,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,135.935100,29.373419,"us/op",65536,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,134.343400,65.419599,"us/op",65536,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,116.142800,34.244701,"us/op",65536,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,123.339900,39.760967,"us/op",65536,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,126.481900,42.918717,"us/op",65536,0.625
